goods_code,hier_pos,language,description
0201100092,10,FR,"Carcasses ayant un poids égal ou supérieur à 180|kg et inférieur ou égal à 300|kg et demi-carcasses, ayant un poids égal ou supérieur à 90|kg et inférieur ou égal à 150|kg, présentant un faible degré d'ossification des cartilages (notamment ceux de la symphyse pubienne et des apophyses vertébrales), la viande est rose clair et la graisse, de structure extrêmement fine, de  couleur blanche à jaune clair"
0201100092,10,FR,de bison
0201100094,10,FR,autres
0201100097,10,FR,autres
0201100097,10,FR,de bison
0201100098,10,FR,autres
0201200000,6,FR,autres morceaux non désossés
0201202000,8,FR,"Quartiers dits ""compensés"""
0201202021,10,FR,Viandes bovines de haute qualité
0201202021,10,FR,de bison
0201202029,10,FR,autres
0201202092,10,FR,autres
0201202092,10,FR,"Quartiers dits compensés, ayant un poids égal ou supérieur a 90|kg et inférieur ou égal à 150|kg, présentant un faible degré d'ossification des cartilages (notamment ceux de la symphyse pubienne et des apophyses vertébrales), dont la viande est rose clair et la graisse, de structure extrêmement fine, de couleur blanche à jaune clair"
0201202092,10,FR,de bison
0201202094,10,FR,autres
0201202097,10,FR,autres
0201202097,10,FR,de bison
0201202098,10,FR,autres
0201203000,8,FR,Quartiers avant attenants ou séparés
0201203021,10,FR,Viandes bovines de haute qualité
0201203021,10,FR,de bison
0201203029,10,FR,autres
0201203092,10,FR,autres
0201203092,10,FR,"Quartiers avant séparés ayant un poids égal ou supérieur à 45|kg et inférieur ou égal à 75|kg, présentant un faible degré d'ossification des cartilages (notamment de ceux des apophyses vertébrales), dont la viande est de couleur rose clair et la graisse, de structure extrêmement fine, de couleur blanche à jaune clair"
0201203092,10,FR,de bison
0201203094,10,FR,autres
0201203097,10,FR,autres
0201203097,10,FR,de bison
0201203098,10,FR,autres
0201205000,8,FR,Quartiers arrière attenants ou séparés
0201205021,10,FR,Viandes bovines de haute qualité
0201205021,10,FR,de bison
0201205029,10,FR,autres
0201205092,10,FR,autres
0201205092,10,FR,"Quartiers arrière séparés ayant un poids égal ou supérieur à 45|kg et inférieur ou égal à 75|kg, ce poids étant égal ou supérieur à 38|kg et inférieur ou égal à 68|kg lorsqu'il s'agit de la coupe dite ""pistola"", présentant un faible degré d'ossification des cartilages (notamment ceux des apophyses vertébrales), dont la viande est de couleur rose clair et la graisse, de structure extrêmement fine, de couleur blanche à jaune clair"
0201205092,10,FR,de bison
0201205094,10,FR,autres
0201205097,10,FR,autres
0201205097,10,FR,de bison
0201205098,10,FR,autres
0201209000,8,FR,autres
0201209011,10,FR,Viandes bovines de haute qualité
0201209011,10,FR,de bison
0201209015,10,FR,autres
0201209091,10,FR,autres
0201209091,10,FR,de bison
0201209099,10,FR,autres
0201300000,6,FR,désossées
0201300031,10,FR,de haute qualité
0201300031,10,FR,de bison
0201300039,10,FR,autres
0201300041,10,FR,autres
0201300041,10,FR,Viandes de buffle
0201300041,10,FR,de bison
0201300049,10,FR,autres
0201300090,10,FR,autres
0202000000,4,FR,"Viandes des animaux de l'espèce bovine, congelées"
0202100000,6,FR,en carcasses ou demi-carcasses
0202100011,10,FR,Viandes bovines de haute qualité
0202100011,10,FR,de bison
0202100015,10,FR,autres
0202100091,10,FR,autres
0202100091,10,FR,de bison
0202100099,10,FR,autres
0202200000,6,FR,autres morceaux non désossés
0202201000,8,FR,"Quartiers dits ""compensés"""
0202201011,10,FR,Viandes bovines de haute qualité
0202201011,10,FR,de bison
0202201015,10,FR,autres
0202201091,10,FR,autres
0202201091,10,FR,de bison
0202201099,10,FR,autres
0202203000,8,FR,Quartiers avant attenants ou séparés
0202203011,10,FR,Viandes bovines de haute qualité
0202203011,10,FR,de bison
0202203015,10,FR,autres
0202203081,10,FR,autres
0202203081,10,FR,destinées à la transformation
0202203081,10,FR,"destinée à la fabrication de produits relevant des sous-positions NC 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)"
0202203081,10,FR,de bison
0202203082,10,FR,autres
0202203083,10,FR,"destinée à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)"
0202203083,10,FR,de bison
0202203084,10,FR,autres
0202203085,10,FR,autres
0202203085,10,FR,de bison
0202203086,10,FR,autres
0202203087,10,FR,autres
0202203087,10,FR,de bison
0202203088,10,FR,autres
0202205000,8,FR,Quartiers arrière attenants ou séparés
0202205011,10,FR,Viandes bovines de haute qualité
0202205011,10,FR,de bison
0202205015,10,FR,autres
0202205091,10,FR,autres
0202205091,10,FR,de bison
0202205099,10,FR,autres
0202209000,8,FR,autres
0202209011,10,FR,Viandes bovines de haute qualité
0202209011,10,FR,de bison
0202209015,10,FR,autres
0202209091,10,FR,autres
0202209091,10,FR,de bison
0202209099,10,FR,autres
0202300000,6,FR,désossées
0202301000,8,FR,"Quartiers avant, entiers ou découpés en cinq morceaux au maximum, chaque quartier avant étant présenté en un seul bloc de congélation; quartiers dits ""compensés"" présentés en deux blocs de congélation contenant, l'un, le quartier avant entier ou découpé en cinq morceaux au maximum, et l'autre, le quartier arrière, à l'exclusion du filet, en un seul morceau"
0202301011,10,FR,Viandes bovines de haute qualité
0202301011,10,FR,de bison
0202301015,10,FR,autres
0202301081,10,FR,autres
0202301081,10,FR,destinées à la transformation
0202301081,10,FR,"destinées à la fabrication de produits relevant des sous-positions 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)"
0202301081,10,FR,de bison
0202301082,10,FR,autres
0202301083,10,FR,"destinées à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)"
0202301083,10,FR,de bison
0202301084,10,FR,autres
0202301085,10,FR,autres
0202301085,10,FR,de bison
0202301086,10,FR,autres
0202301087,10,FR,autres
0202301087,10,FR,de bison
0202301088,10,FR,autres
0202305000,8,FR,"Découpes de quartiers avant et de poitrines dites ""australiennes"""
0202305011,10,FR,Viandes bovines de haute qualité
0202305011,10,FR,de bison
0202305015,10,FR,autres
0202305081,10,FR,autres
0202305081,10,FR,destinées à la transformation
