Goods code;Language;Hier. Pos.;Description
8900000000 80;FR;2;NAVIGATION MARITIME OU FLUVIALE
9000000000 80;FR;2;"INSTRUMENTS ET APPAREILS D'OPTIQUE, DE PHOTOGRAPHIE OU DE CINÉMATOGRAPHIE, DE MESURE, DE CONTRÔLE OU DE PRÉCISION; INSTRUMENTS ET APPAREILS MÉDICO-CHIRURGICAUX; PARTIES ET ACCESSOIRES DE CES INSTRUMENTS OU APPAREILS"
9100000000 80;FR;2;HORLOGERIE
9200000000 80;FR;2;"INSTRUMENTS DE MUSIQUE; PARTIES ET ACCESSOIRES DE CES INSTRUMENTS"
9300000000 80;FR;2;ARMES, MUNITIONS ET LEURS PARTIES ET ACCESSOIRES
9400000000 80;FR;2;"MEUBLES; MOBILIER MÉDICO-CHIRURGICAL; ARTICLES DE LITERIE ET SIMILAIRES; LUMINAIRES ET APPAREILS D'ÉCLAIRAGE NON DÉNOMMÉS NI COMPRIS AILLEURS; LAMPES-RÉCLAMES, ENSEIGNES LUMINEUSES, PLAQUES INDICATRICES LUMINEUSES ET ARTICLES SIMILAIRES; CONSTRUCTIONS PRÉFABRIQUÉES"
9500000000 80;FR;2;"JOUETS, JEUX, ARTICLES POUR DIVERTISSEMENTS OU POUR SPORTS; LEURS PARTIES ET ACCESSOIRES"
9600000000 80;FR;2;OUVRAGES DIVERS
9700000000 80;FR;2;OBJETS D'ART, DE COLLECTION OU D'ANTIQUITÉ
9800000000 80;FR;2;ENSEMBLES INDUSTRIELS
9900000000 80;FR;2;CODES SPECIFIQUES DE LA NOMENCLATURE COMBINEE
