goods_code,hier_pos,language,description
0202305087,10,EN,Other
0202305087,10,EN,Of bison
0202305088,10,EN,Other
0202309000,8,EN,Other
0202309011,10,EN,High quality
0202309011,10,EN,Of bison
0202309015,10,EN,Other
0202309041,10,EN,Other
0202309041,10,EN,Buffalo meat
0202309041,10,EN,Intended for processing
0202309041,10,EN,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
0202309041,10,EN,Of bison
0202309042,10,EN,Other
0202309043,10,EN,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
0202309043,10,EN,Of bison
0202309044,10,EN,Other
0202309045,10,EN,Other
0202309045,10,EN,Of bison
0202309046,10,EN,Other
0202309047,10,EN,Other
0202309047,10,EN,Of bison
0202309048,10,EN,Other
0202309070,10,EN,Other
0202309070,10,EN,Intended for processing
0202309070,10,EN,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
0202309075,10,EN,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
0202309080,10,EN,Other
0202309090,10,EN,Other
0203000000,4,EN,"Meat of swine, fresh, chilled or frozen"
0203110000,6,EN,Fresh or chilled
0203110000,6,EN,Carcases and half-carcases
0203111000,8,EN,Of domestic swine
0203119000,8,EN,Other
0203120000,6,EN,"Hams, shoulders and cuts thereof, with bone in"
0203121100,8,EN,Of domestic swine
0203121100,8,EN,Hams and cuts thereof
0203121900,8,EN,Shoulders and cuts thereof
0203129000,8,EN,Other
0203190000,6,EN,Other
0203191100,8,EN,Of domestic swine
0203191100,8,EN,Fore-ends and cuts thereof
0203191300,8,EN,"Loins and cuts thereof, with bone in"
0203191500,8,EN,Bellies (streaky) and cuts thereof
0203195500,8,EN,Other
0203195500,8,EN,Boneless
0203195510,10,EN,"Tenderloin, presented separately"
0203195515,10,EN,"Loins and cuts thereof, excluding tenderloin presented separately"
0203195515,10,EN,Loins
0203195525,10,EN,Cuts
0203195530,10,EN,Ham and cuts of ham
0203195590,10,EN,Other
0203195900,8,EN,Other
0203199000,8,EN,Other
0203210000,6,EN,Frozen
0203210000,6,EN,Carcases and half-carcases
0203211000,8,EN,Of domestic swine
0203219000,8,EN,Other
0203220000,6,EN,"Hams, shoulders and cuts thereof, with bone in"
0203221100,8,EN,Of domestic swine
0203221100,8,EN,Hams and cuts thereof
0203221900,8,EN,Shoulders and cuts thereof
0203229000,8,EN,Other
0203290000,6,EN,Other
0203291100,8,EN,Of domestic swine
0203291100,8,EN,Fore-ends and cuts thereof
0203291300,8,EN,"Loins and cuts thereof, with bone in"
0203291500,8,EN,Bellies (streaky) and cuts thereof
0203295500,8,EN,Other
0203295500,8,EN,Boneless
0203295520,10,EN,"Loins and cuts thereof, excluding tenderloin presented separately"
0203295520,10,EN,Loins
0203295530,10,EN,Cuts
0203295591,10,EN,Other
0203295591,10,EN,"Tenderloin, presented separately"
0203295592,10,EN,Ham and cuts of ham
0203295599,10,EN,Other
0203295900,8,EN,Other
0203299000,8,EN,Other
0204000000,4,EN,"Meat of sheep or goats, fresh, chilled or frozen"
0204100000,6,EN,"Carcases and half-carcases of lamb, fresh or chilled"
0204100010,10,EN,Of domestic lamb
0204100090,10,EN,Other
0204210000,6,EN,"Other meat of sheep, fresh or chilled"
0204210000,6,EN,Carcases and half-carcases
0204210010,10,EN,Of domestic sheep
0204210090,10,EN,Other
0204220000,6,EN,Other cuts with bone in
0204221000,8,EN,Short forequarters
0204221010,10,EN,Of domestic sheep
0204221090,10,EN,Other
0204223000,8,EN,Chines and/or best ends
0204223010,10,EN,Of domestic sheep
0204223090,10,EN,Other
0204225000,8,EN,Legs
0204225010,10,EN,Of domestic sheep
0204225090,10,EN,Other
0204229000,8,EN,Other
0204229010,10,EN,Of domestic sheep
0204229090,10,EN,Other
0204230000,6,EN,Boneless
0204230011,10,EN,Of domestic sheep
0204230011,10,EN,Of lamb
0204230019,10,EN,Other
0204230091,10,EN,Other
0204230091,10,EN,Of lamb
0204230099,10,EN,Other
0204300000,6,EN,"Carcases and half-carcases of lamb, frozen"
0204300010,10,EN,Of domestic lamb
0204300090,10,EN,Other
0204410000,6,EN,"Other meat of sheep, frozen"
0204410000,6,EN,Carcases and half-carcases
0204410010,10,EN,Of domestic sheep
0204410090,10,EN,Other
0204420000,6,EN,Other cuts with bone in
0204421000,8,EN,Short forequarters
0204421010,10,EN,Of domestic sheep
0204421090,10,EN,Other
0204423000,8,EN,Chines and/or best ends
0204423010,10,EN,Of domestic sheep
0204423090,10,EN,Other
0204425000,8,EN,Legs
0204425010,10,EN,Of domestic sheep
0204425090,10,EN,Other
0204429000,8,EN,Other
0204429010,10,EN,Of domestic sheep
0204429090,10,EN,Other
0204430000,6,EN,Boneless
0204431000,8,EN,Of lamb
0204431010,10,EN,Of domestic sheep
0204431090,10,EN,Other
0204439000,8,EN,Other
0204439010,10,EN,Of domestic sheep
0204439090,10,EN,Other
0204500000,6,EN,Meat of goats
0204501100,8,EN,Fresh or chilled
0204501100,8,EN,Carcases and half-carcases
0204501300,8,EN,Short forequarters
0204501500,8,EN,Chines and/or best ends
0204501900,8,EN,Legs
0204503100,8,EN,Other
0204503100,8,EN,Cuts with bone in
0204503900,8,EN,Boneless cuts
0204503910,10,EN,Goatmeat of kid
0204503990,10,EN,Other
0204505100,8,EN,Frozen
0204505100,8,EN,Carcases and half-carcases
0204505300,8,EN,Short forequarters
0204505500,8,EN,Chines and/or best ends
0204505900,8,EN,Legs
0204507100,8,EN,Other
0204507100,8,EN,Cuts with bone in
0204507900,8,EN,Boneless cuts
0204507910,10,EN,Goatmeat of kid
0204507990,10,EN,Other
0205000000,4,EN,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
0205002000,8,EN,Fresh or chilled
0205008000,8,EN,Frozen
0206000000,4,EN,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen"
0206100000,6,EN,"Of bovine animals, fresh or chilled"
0206101000,8,EN,For the manufacture of pharmaceutical products
0206109500,8,EN,Other
0206109500,8,EN,Thick skirt and thin skirt
0206109511,10,EN,Of high quality
0206109511,10,EN,Of bison
0206109515,10,EN,Other
0206109591,10,EN,Other
0206109591,10,EN,Of bison
0206109599,10,EN,Other
0206109800,8,EN,Other
0206210000,6,EN,"Of bovine animals, frozen"
0206210000,6,EN,Tongues
0206220000,6,EN,Livers
0206290000,6,EN,Other
0206291000,8,EN,For the manufacture of pharmaceutical products
0206299100,8,EN,Other
0206299100,8,EN,Thick skirt and thin skirt
0206299111,10,EN,Of high quality
0206299111,10,EN,"Thin skirt, whole"
0206299111,10,EN,Of bison
0206299115,10,EN,Other
0206299121,10,EN,Other
0206299121,10,EN,Of bison
0206299129,10,EN,Other
0206299133,10,EN,Other
0206299133,10,EN,"Thin skirt, whole"
0206299133,10,EN,Intended for processing
0206299133,10,EN,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
0206299133,10,EN,Of bison
0206299135,10,EN,Other
0206299137,10,EN,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
0206299137,10,EN,Of bison
0206299138,10,EN,Other
0206299141,10,EN,Other
0206299141,10,EN,Of bison
0206299142,10,EN,Other
0206299144,10,EN,Other
0206299144,10,EN,Of bison
0206299145,10,EN,Other
0206299151,10,EN,Other
0206299151,10,EN,Intended for processing
0206299151,10,EN,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
0206299151,10,EN,Of bison
0206299159,10,EN,Other
0206299161,10,EN,"For the manufacture of other products than products falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
0206299161,10,EN,Of bison
0206299169,10,EN,Other
0206299171,10,EN,Other
0206299171,10,EN,Of bison
