Quotation ID;Product Description;HSCODE;FIABILITY
0197c6a9-2421-7e81-8544-918c277320d1;moteur diesel;;
0197c5df-1142-7cb4-a1fb-b2c44172b3e1;PLAN DE TRAVAIL INOX;;
0197cb56-ac64-7723-b7f5-d95e71d58915;parquet;;
0197cb21-84cd-7389-a36d-ae8b635d2aaa;Essieu arrière de voiture ;;
0197c9a4-698e-78e0-8f01-3effad1049e2;PARE CHOC AVANT;;
0197ca3a-f304-72e4-8d83-5121d33ed163;Caisse gaz vide ;;
0197ca09-4d37-7b1b-9c29-db701f10c701;toilettes en faillance;;
0197ca29-cf0f-74fb-b848-b8fa4cb590c2;JANTES ALU *2;;
0197cad8-3019-773c-a88a-2d1159fd0a61;fragile;;
0197ca5d-c25e-74f7-b9cd-208da7992ca8;BouEes gonflables;;
0197cb21-fe08-784a-9705-300739065b02;VITRE DE PELLETEUSE;;
0197c9ef-1b88-7142-a989-4923e78668fc;OUTIL;;
0197cb84-3225-7687-89b9-0604e66c2f18;Imprimante;;
0197cacb-de99-7cb0-b763-fc2202bee5c8;Materiel agricole;;
0197cb47-c63e-734a-949e-8b8070e0cfc0;fibres;;
0197cbca-ae1f-7295-8690-5765fb4306eb;Inverseur bateau;;
0197cbdb-3525-7aa3-8f9f-b744e265e278;Cube en mEtal peint et sculture artistique;;
0197ca3f-5aec-7263-96dc-9c8063ff2f2f;Palette contenant 3 onduleurs SOLARMAX 15MT2 ;;
0197ca7c-3a79-7805-92a6-82c9661e1d70;MOTEUR;;
0197cb1d-9c26-71fc-a0c3-04d2a4ee6aae;mEcanique;;
0197ca29-6ccd-74d2-9441-d4aa3c030d70;Robot;;
0197cb61-b90e-725a-bc8c-6abba356ffb1;Machine pour tirage fibre optique;;
0197ca44-77f5-7af0-bfd8-e90d529c3971;Petit distributeur automatique;;
0197cf59-c345-72c2-801f-54e8613e6287;pare chocs;;
0197cfa4-bcd5-73c9-bf64-934b3e447670;Machine à granita;;
0197cf79-5425-79af-bbf2-5cb448c2adda;Boulon marteaux;;
0197d253-6109-7350-b7c0-de3bf7a8fd05;Cartons contenant des emballage;;
0197cf84-7b01-78df-8bdd-de6c2a68fcc6;Boîte de vitesse;;
0197cfd8-3d84-7ef6-aa77-733c0e0a61e1;Machines (dEshydrateur industriels);;
0197d031-7147-7c80-828a-cb0acfe65bd4;FOUR A PIZZA;;
0197cf6a-4252-7691-a076-42d734286002;MatEriel de chantier ;;
0197cf7a-935c-751d-a5ee-b37201e48f51;MatEriel informatique - 1 palette de 5 colis;;
0197cf8f-ec56-7669-bdca-2f9cca9c6641;Presentoir;;
0197cfb0-3376-7b15-ad87-ea507bda155a;MatEriel agricole;;
0197d065-7630-7cb4-ba9e-58d0944d749a;OUTILLAGE;;
0197d046-31d2-7ee7-808a-fb8436a1872a;Appareil de mesure;;
0197d758-a09d-760d-b3ac-1d8f2274461a;6 chaises en metal;;
0197d475-7d6a-7e0a-9e1c-7184fceb00e9;Caisse en bois plus 1 carton;;
0197d447-c50c-7bd9-a94f-fb64d95c6df0;GLACIERE;;
0197d5c9-2688-7e12-ac01-07cc2c6a7ce0;Pièces agricole ;;
0197d4ef-3873-7aed-b34d-a8f59961d8e2;ELEMENT AUTOMOBILE;;
0197d577-27fa-7266-9eec-d3b0a4d4f950;MOTEUR ELECTRIQUE;;
0197d4a3-7ce9-7a2e-8ad8-d997140ed57e;Tapis gregoire;;
0197d55d-4e36-7a88-95fa-32f615d2c03e;Rubans transfert;;
0197d49e-e0da-7d9f-97a2-8b3cbae7b2a4;Panneaux;;
0197d56b-e2b9-78d4-b0dc-5e454f45defb;Meuble+cosmEtiques;;
0197d593-413a-7e5b-b8ca-7b37ea88ac3e;Maquette de collection;;
0197d33c-8181-7986-8477-f94310e3d0eb;MATERIEL;;
0197d333-7b46-7970-96dc-929b970ff393;MATERIEL;;
0197d340-e8a2-7660-929e-956ac8e48a4d;MATERIEL;;
0197d5c3-7b9e-77da-9f65-a6dfd2604d87;Fly en bois à roulette;;
0197d4de-588b-774c-aa02-a08ec8b85a18;Robinetterie;;
0197da00-9244-7625-82bf-64eb954d63eb;Amplificateur;;
